P1_to_P2_distance,P1_to_obs_1_distance,P1_to_obs_2_distance,P1_to_obs_3_distance,P1_to_obs_4_distance,P1_to_obs_5_distance,P2_to_obs_1_distance,P2_to_obs_2_distance,P2_to_obs_3_distance,P2_to_obs_4_distance,P2_to_obs_5_distance,P1_to_goal_distance,P2_to_goal_distance,P1_action,P2_action,reward,timestamp_milliseconds
50.24937810560445,22.0,44.654227123532216,49.0,59.0,77.0,20.0,27.0,64.35060217278468,65.45991139621256,78.39005038906404,254.4720023892609,273.7535387899123,1,1,50,46519
50.24937810560445,22.0,45.48626166217664,49.0,59.0,76.0,20.0,27.0,63.812224534175265,64.89992295835181,79.30952023559341,254.08069584287588,273.2068813189009,1,1,50,46556
50.24937810560445,22.0,46.32493928760188,49.0,59.0,75.0,20.0,27.0,63.28506932918696,64.35060217278468,80.23091673413684,253.69272752682525,272.66279540854123,1,1,50,46593
50.24937810560445,22.0,47.16990566028302,49.0,59.0,74.0,20.0,27.0,62.76941930590086,63.812224534175265,81.15417426109393,253.3081127796739,272.12129648375554,1,1,50,46630
50.24937810560445,22.0,48.02082881417188,49.0,59.0,73.0,20.0,27.0,62.26556030423239,63.28506932918696,82.0792300158816,252.9268669002959,271.58240001885247,1,1,50,46667
50.24937810560445,22.0,48.877397639399746,49.0,59.0,72.0,20.0,27.0,61.773780845922005,62.76941930590086,83.00602387778854,252.54900514553606,271.0461215365385,1,1,50,46704
50.24937810560445,22.0,49.0,49.73932046178355,59.0,71.0,20.0,27.0,61.29437168288782,62.26556030423239,83.93449827097318,252.1745427278495,270.51247660690257,1,1,50,46741
50.24937810560445,22.0,49.0,50.60632371551998,59.0,70.0,20.0,27.0,60.8276253029822,61.773780845922005,84.86459803710851,251.80349481291955,269.9814808463721,1,1,50,46778
50.24937810560445,22.0,49.0,51.478150704935004,59.0,69.0,20.0,27.0,60.37383539249432,61.29437168288782,85.7962703152066,251.4358765172544,269.45314991664134,1,1,50,46815
50.24937810560445,22.0,49.0,52.354560450833695,59.0,68.0,20.0,27.0,59.93329625508679,60.8276253029822,86.7294644281861,251.07170290576354,268.9274995235705,1,1,50,46852
50.24937810560445,22.0,49.0,53.23532661682466,59.0,67.0,20.0,27.0,59.50630218724736,60.37383539249432,87.66413177577246,250.71098898931416,268.40454541605664,1,1,50,46889
50.24937810560445,22.0,49.0,54.120236510939236,59.0,66.0,20.0,27.0,59.09314681077663,59.93329625508679,88.60022573334675,250.353749722268,267.88430338487547,1,1,50,46926
