P1_to_P2_distance,P1_to_obs_1_distance,P1_to_obs_2_distance,P1_to_obs_3_distance,P1_to_obs_4_distance,P1_to_obs_5_distance,P2_to_obs_1_distance,P2_to_obs_2_distance,P2_to_obs_3_distance,P2_to_obs_4_distance,P2_to_obs_5_distance,P1_to_goal_distance,P2_to_goal_distance,timestamp_milliseconds
50.0,124.91997438360288,131.88252348207476,147.35331689514152,187.5366630821824,191.04188022525324,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,39.824615503479755,24.20743687382041,10214
50.0,124.91997438360288,131.88252348207476,147.35331689514152,187.5366630821824,191.04188022525324,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,39.824615503479755,24.20743687382041,10250
50.0,124.91997438360288,131.88252348207476,147.35331689514152,187.5366630821824,191.04188022525324,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,39.824615503479755,24.20743687382041,10286
50.0,124.91997438360288,131.88252348207476,147.35331689514152,187.5366630821824,191.04188022525324,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,39.824615503479755,24.20743687382041,10321
50.0,124.91997438360288,131.88252348207476,147.35331689514152,187.5366630821824,191.04188022525324,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,39.824615503479755,24.20743687382041,10357
50.0,124.91997438360288,131.88252348207476,147.35331689514152,187.5366630821824,191.04188022525324,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,39.824615503479755,24.20743687382041,10393
50.0,124.91997438360288,131.88252348207476,147.35331689514152,187.5366630821824,191.04188022525324,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,39.824615503479755,24.20743687382041,10429
50.0,124.91997438360288,131.88252348207476,147.35331689514152,187.5366630821824,191.04188022525324,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,39.824615503479755,24.20743687382041,10464
50.0,124.91997438360288,131.88252348207476,147.35331689514152,187.5366630821824,191.04188022525324,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,39.824615503479755,24.20743687382041,10500
50.0,124.91997438360288,131.88252348207476,147.35331689514152,187.5366630821824,191.04188022525324,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,39.824615503479755,24.20743687382041,10536
