P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp
312,75,0,0,0,100,362,79,0,0,0,100,14:52:09
310,75,0,0,0,100,360,79,0,0,0,100,14:52:09
308,75,0,0,0,100,358,79,0,0,0,100,14:52:09
306,75,0,0,0,100,356,79,0,0,0,100,14:52:09
304,75,0,0,0,100,354,79,0,0,0,100,14:52:09
302,75,0,0,0,100,352,79,0,0,0,100,14:52:09
300,75,0,0,0,100,350,79,0,0,0,100,14:52:09
298,75,0,0,0,100,348,79,0,0,0,100,14:52:09
296,75,0,0,0,100,346,79,0,0,0,100,14:52:10
296,75,0,0,0,100,346,79,4,0,0,100,14:52:10
294,75,0,0,0,100,344,79,0,0,0,100,14:52:10
292,75,0,0,0,100,342,79,0,0,0,100,14:52:10
290,75,0,0,0,100,340,79,0,0,0,100,14:52:10
288,75,0,0,0,100,338,79,0,0,0,100,14:52:10
286,75,0,0,0,100,336,79,0,0,0,100,14:52:10
284,75,0,0,0,100,334,79,0,0,0,100,14:52:10
282,75,0,0,0,100,332,79,0,0,0,100,14:52:10
280,75,0,0,0,100,330,79,0,0,0,100,14:52:10
278,75,0,0,0,100,328,79,0,0,0,100,14:52:10
276,75,0,0,0,100,326,79,0,0,0,100,14:52:10
274,75,0,0,0,100,324,79,0,0,0,100,14:52:10
272,75,0,0,0,100,322,79,0,0,0,100,14:52:10
270,75,0,0,0,100,320,79,0,0,0,100,14:52:10
268,75,0,0,0,100,318,79,0,0,0,100,14:52:10
266,75,0,0,0,100,316,79,0,0,0,100,14:52:10
264,75,0,0,0,100,314,79,0,0,0,100,14:52:10
262,75,0,0,0,100,312,79,0,0,0,100,14:52:10
262,77,0,0,0,100,312,81,2,0,0,100,14:52:10
260,77,0,0,0,100,310,81,0,0,0,100,14:52:10
258,77,0,0,0,100,308,81,0,0,0,100,14:52:10
258,75,0,0,0,100,308,79,3,0,0,100,14:52:10
256,75,0,0,0,100,306,79,0,0,0,100,14:52:10
254,75,0,0,0,100,304,79,0,0,0,100,14:52:10
252,75,0,0,0,100,302,79,0,0,0,100,14:52:10
250,75,0,0,0,100,300,79,0,0,0,100,14:52:10
248,75,0,0,0,100,298,79,0,0,0,100,14:52:10
246,75,0,0,0,100,296,79,0,0,0,100,14:52:11
246,73,0,0,0,100,296,77,3,0,0,100,14:52:11
244,73,0,0,0,100,294,77,0,0,0,100,14:52:11
242,73,0,0,0,100,292,77,0,0,0,100,14:52:11
240,73,0,0,0,100,290,77,0,0,0,100,14:52:11
238,73,0,0,0,100,288,77,0,0,0,100,14:52:11
236,73,0,0,0,100,286,77,0,0,0,100,14:52:11
234,73,0,0,0,100,284,77,0,0,0,100,14:52:11
232,73,0,0,1,100,282,77,0,0,1,100,14:52:18
